,species,genus,family,species.relative,genus.relative
1,Acanthopale_confertiflora,Acanthopale,Acanthaceae,NA,Acanthopale
2,Acanthopale_decempedalis,Acanthopale,Acanthaceae,NA,Acanthopale
3,Acanthopale_laxiflora,Acanthopale,Acanthaceae,NA,Acanthopale
4,Acanthopale_pubescens,Acanthopale,Acanthaceae,NA,Acanthopale
5,Acanthopsis_disperma,Acanthopsis,Acanthaceae,NA,Acanthopsis
6,Acanthus_eminens,Acanthus,Acanthaceae,NA,Acanthus
7,Acanthus_guineensis,Acanthus,Acanthaceae,NA,Acanthus
8,Acanthus_kulalensis,Acanthus,Acanthaceae,NA,Acanthus
9,Acanthus_latisepalus,Acanthus,Acanthaceae,NA,Acanthus
10,Acanthus_mayaccanus,Acanthus,Acanthaceae,NA,Acanthus
11,Acanthus_montanus,Acanthus,Acanthaceae,NA,Acanthus
12,Acanthus_polystachyus,Acanthus,Acanthaceae,NA,Acanthus
13,Acanthus_sennii,Acanthus,Acanthaceae,NA,Acanthus
14,Acanthus_seretii,Acanthus,Acanthaceae,NA,Acanthus
15,Acanthus_ueleensis,Acanthus,Acanthaceae,NA,Acanthus
16,Adhatoda_bolomboensis,Adhatoda,Acanthaceae,NA,Adhatoda
17,Adhatoda_buchholzii,Adhatoda,Acanthaceae,NA,Adhatoda
18,Adhatoda_camerunensis,Adhatoda,Acanthaceae,NA,Adhatoda
19,Adhatoda_le-testui,Adhatoda,Acanthaceae,NA,Adhatoda
20,Adhatoda_maculata,Adhatoda,Acanthaceae,NA,Adhatoda
21,Adhatoda_schimperiana,Adhatoda,Acanthaceae,NA,Adhatoda
22,Adhatoda_tristis,Adhatoda,Acanthaceae,NA,Adhatoda
23,Afrofittonia_silvestris,Afrofittonia,Acanthaceae,NA,Afrofittonia
24,Anisosepalum_alboviolaceum,Anisosepalum,Acanthaceae,NA,Anisosepalum
25,Anisosepalum_humbertii,Anisosepalum,Acanthaceae,NA,Anisosepalum
26,Anisosepalum_lewallei,Anisosepalum,Acanthaceae,NA,Anisosepalum
27,Anisotes_bracteatus,Anisotes,Acanthaceae,NA,Anisotes
28,Anisotes_dumosus,Anisotes,Acanthaceae,NA,Anisotes
29,Anisotes_formosissimus,Anisotes,Acanthaceae,NA,Anisotes
30,Anisotes_guineensis,Anisotes,Acanthaceae,NA,Anisotes
31,Anisotes_involucratus,Anisotes,Acanthaceae,NA,Anisotes
32,Anisotes_macrophyllus,Anisotes,Acanthaceae,NA,Anisotes
33,Anisotes_nyassae,Anisotes,Acanthaceae,NA,Anisotes
34,Anisotes_parvifolius,Anisotes,Acanthaceae,NA,Anisotes
35,Anisotes_pubinervis,Anisotes,Acanthaceae,NA,Anisotes
36,Anisotes_rogersii,Anisotes,Acanthaceae,NA,Anisotes
37,Anisotes_sessiliflorus,Anisotes,Acanthaceae,NA,Anisotes
38,Anisotes_spec.nov.,Anisotes,Acanthaceae,NA,Anisotes
39,Anisotes_spectabilis,Anisotes,Acanthaceae,NA,Anisotes
40,Anisotes_tanensis,Anisotes,Acanthaceae,NA,Anisotes
41,Anisotes_trisulcus,Anisotes,Acanthaceae,NA,Anisotes
42,Anisotes_ukambensis,Anisotes,Acanthaceae,NA,Anisotes
43,Anisotes_umbrosus,Anisotes,Acanthaceae,NA,Anisotes
44,Anisotes_zenkeri,Anisotes,Acanthaceae,NA,Anisotes
45,Anomacanthus_congolanus,Anomacanthus,Acanthaceae,NA,Anomacanthus
46,Ascotheca_paucinervia,Ascotheca,Acanthaceae,NA,Ascotheca
47,Asystasia_africana,Asystasia,Acanthaceae,NA,Asystasia
48,Asystasia_albiflora,Asystasia,Acanthaceae,NA,Asystasia
49,Asystasia_ammophila,Asystasia,Acanthaceae,NA,Asystasia
50,Asystasia_ansellioides,Asystasia,Acanthaceae,NA,Asystasia
51,Asystasia_buettneri,Asystasia,Acanthaceae,NA,Asystasia
52,Asystasia_charmian,Asystasia,Acanthaceae,NA,Asystasia
53,Asystasia_congensis,Asystasia,Acanthaceae,NA,Asystasia
54,Asystasia_drake-brockmanii,Asystasia,Acanthaceae,NA,Asystasia
55,Asystasia_excellens,Asystasia,Acanthaceae,NA,Asystasia
56,Asystasia_fragilis,Asystasia,Acanthaceae,NA,Asystasia
57,Asystasia_gangetica,Asystasia,Acanthaceae,NA,Asystasia
58,Asystasia_glandulifera,Asystasia,Acanthaceae,NA,Asystasia
59,Asystasia_glandulosa,Asystasia,Acanthaceae,NA,Asystasia
