"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Albany thickets",156,240.774125282152,264.935220025349,12.2049414611823,2,-1.97961578267629,0.02,99
"Albertine Rift montane forests",3995,267.145257553995,265.493012414568,2.06635157381074,80,0.799595364297009,0.8,99
"Angolan montane forest-grassland",142,269.352875408635,265.238704262506,15.2761917178692,66,0.269319161615137,0.66,99
"Angolan mopane woodlands",518,255.839396635535,265.898095626367,6.47085974292385,10,-1.55446098207141,0.1,99
"Angolan scarp savanna and woodlands",347,251.214147483604,262.896623075072,8.69326459908951,6,-1.34385367640733,0.06,99
"Angolan wet miombo woodlands",954,258.766281631047,265.537426887052,4.45200298760668,11,-1.52092109436002,0.11,99
"Cameroon Highlands forests",3318,265.478363996203,265.283483207379,2.66293412320653,50,0.0731827299540669,0.5,99
"Cape Verde Islands dry forests",360,257.650252916559,264.968640575133,8.15336172536757,18,-0.897591435910972,0.18,99
"Central African mangroves",2268,267.057276812368,265.394722206467,3.10507695256275,67,0.535431047700294,0.67,99
"Central bushveld",546,282.105283873073,266.021889810085,6.69906377101012,100,2.4008420598395,1,99
"Central Congolian lowland forests",1290,263.632451197634,264.922189248831,3.90423682925543,34,-0.330343190641854,0.34,99
"Central Zambezian wet miombo woodlands",6126,263.139914097234,265.475440457078,1.77101243936341,11,-1.31875209226853,0.11,99
"Congolian coastal forests",5231,265.054065400584,265.13259861921,1.82110017849969,51,-0.0431240519069681,0.51,99
"Cross-Niger transition forests",249,260.501168720161,265.850884048732,10.5576962138892,29,-0.506712375521198,0.29,99
"Cross-Sanaga-Bioko coastal forests",3160,262.519109250015,265.505646873805,2.33052950657753,10,-1.28148457908858,0.1,99
"Djibouti xeric shrublands",1334,253.677219969744,265.839620150392,4.56549240609567,1,-2.66398431950282,0.01,99
"Drakensberg Escarpment savanna and thicket",155,293.47448734518,264.212837068155,13.2037908459577,97,2.21615524044624,0.97,99
"Drakensberg grasslands",371,278.005428540509,265.229790787882,8.48683942889459,93,1.50534693859416,0.93,99
"Dry miombo woodlands",5463,268.621624075178,265.5528698452,1.93223291768564,97,1.58819063783125,0.97,99
"East African halophytics",84,227.407285578169,266.995756135698,18.2456938672844,1,-2.16974321971462,0.01,99
"East African mangroves",116,239.864488345479,264.520709471307,15.0456765218572,2,-1.63875789101334,0.02,99
"East African montane forests",1909,265.188193650539,266.218526203452,3.92802423790618,39,-0.262303002861046,0.39,99
"East African montane moorlands",659,263.635923913752,266.123286762381,5.81427467065372,35,-0.427802776704699,0.35,99
"East Sudanian savanna",3218,269.080534732191,265.54215873834,2.64407744508012,89,1.33822706306668,0.89,99
"Eastern Arc forests",2985,267.917587900212,265.533649531602,2.92172798913411,77,0.815934398231588,0.77,99
"Eastern Congolian swamp forests",1711,264.278551796176,265.215721537581,3.652427048515,41,-0.256588216262053,0.41,99
"Eastern Guinean forests",3334,268.088770005969,265.23317950593,2.45903234139039,86,1.16126593862745,0.86,99
"Eritrean coastal desert",44,243.369121814135,264.939591836005,21.4575845720835,22,-1.00526086472625,0.22,99
"Ethiopian montane forests",1093,261.530356824806,265.131407755437,4.12139408675814,18,-0.873745838138021,0.18,99
"Ethiopian montane grasslands and woodlands",2199,263.171323166571,266.172717585551,3.1085247203364,18,-0.965536609486921,0.18,99
"Ethiopian montane moorlands",550,260.967276457806,266.003493356626,7.38277316123042,27,-0.682157881440323,0.27,99
"Etosha Pan halophytics",12,247.383623409624,268.203003565272,45.3914322604985,55,-0.45866321283202,0.55,99
"Fynbos shrubland",1225,255.12464153402,265.721782032868,4.23989110698787,1,-2.49938977946455,0.01,99
"Gariep Karoo",241,260.621391090266,265.39378791417,8.92125457374612,32,-0.534946826643561,0.32,99
"Guinean forest-savanna",3534,265.857730850763,265.21373660867,2.48103760670659,65,0.259566497642731,0.65,99
"Guinean mangroves",976,274.183687574983,265.368397365951,5.23023436486872,94,1.68544841283665,0.94,99
"Guinean montane forests",2283,271.110858098109,265.161318814792,3.20020553485109,97,1.85911161596481,0.97,99
"Highveld grasslands",664,261.176624143575,265.244089487569,5.94379641426167,24,-0.684321107337119,0.24,99
"Hobyo grasslands and shrublands",170,243.913770744623,264.385032306247,11.1392034915709,3,-1.8377670878456,0.03,99
"Horn of Africa xeric bushlands",378,259.177979600603,264.991450410782,9.098433919356,27,-0.638952907907724,0.27,99
"Inner Niger Delta flooded savanna",191,262.797063183981,268.272790497305,12.57468680188,39,-0.435456357649085,0.39,99
"Itigi-Sumbu thicket",261,264.483871960495,266.661174812622,8.35423752099616,35,-0.26062256988203,0.35,99
