,species,genus,family,species.relative,genus.relative
1,Acanthopale confertiflora,Acanthopale,Acanthaceae,NA,Acanthopale
2,Acanthopale decempedalis,Acanthopale,Acanthaceae,NA,Acanthopale
3,Acanthopale laxiflora,Acanthopale,Acanthaceae,NA,Acanthopale
4,Acanthopale pubescens,Acanthopale,Acanthaceae,NA,Acanthopale
5,Acanthopsis disperma,Acanthopsis,Acanthaceae,NA,Acanthopsis
6,Acanthus eminens,Acanthus,Acanthaceae,NA,Acanthus
7,Acanthus guineensis,Acanthus,Acanthaceae,NA,Acanthus
8,Acanthus kulalensis,Acanthus,Acanthaceae,NA,Acanthus
9,Acanthus latisepalus,Acanthus,Acanthaceae,NA,Acanthus
10,Acanthus mayaccanus,Acanthus,Acanthaceae,NA,Acanthus
11,Acanthus montanus,Acanthus,Acanthaceae,NA,Acanthus
12,Acanthus polystachyus,Acanthus,Acanthaceae,NA,Acanthus
13,Acanthus sennii,Acanthus,Acanthaceae,NA,Acanthus
14,Acanthus seretii,Acanthus,Acanthaceae,NA,Acanthus
15,Acanthus ueleensis,Acanthus,Acanthaceae,NA,Acanthus
16,Adhatoda bolomboensis,Adhatoda,Acanthaceae,NA,Adhatoda
17,Adhatoda buchholzii,Adhatoda,Acanthaceae,NA,Adhatoda
18,Adhatoda camerunensis,Adhatoda,Acanthaceae,NA,Adhatoda
19,Adhatoda le-testui,Adhatoda,Acanthaceae,NA,Adhatoda
20,Adhatoda maculata,Adhatoda,Acanthaceae,NA,Adhatoda
21,Adhatoda schimperiana,Adhatoda,Acanthaceae,NA,Adhatoda
22,Adhatoda tristis,Adhatoda,Acanthaceae,NA,Adhatoda
23,Afrofittonia silvestris,Afrofittonia,Acanthaceae,NA,Afrofittonia
24,Anisosepalum alboviolaceum,Anisosepalum,Acanthaceae,NA,Anisosepalum
25,Anisosepalum humbertii,Anisosepalum,Acanthaceae,NA,Anisosepalum
26,Anisosepalum lewallei,Anisosepalum,Acanthaceae,NA,Anisosepalum
27,Anisotes bracteatus,Anisotes,Acanthaceae,NA,Anisotes
28,Anisotes dumosus,Anisotes,Acanthaceae,NA,Anisotes
29,Anisotes formosissimus,Anisotes,Acanthaceae,NA,Anisotes
30,Anisotes guineensis,Anisotes,Acanthaceae,NA,Anisotes
31,Anisotes involucratus,Anisotes,Acanthaceae,NA,Anisotes
32,Anisotes macrophyllus,Anisotes,Acanthaceae,NA,Anisotes
33,Anisotes nyassae,Anisotes,Acanthaceae,NA,Anisotes
34,Anisotes parvifolius,Anisotes,Acanthaceae,NA,Anisotes
35,Anisotes pubinervis,Anisotes,Acanthaceae,NA,Anisotes
36,Anisotes rogersii,Anisotes,Acanthaceae,NA,Anisotes
37,Anisotes sessiliflorus,Anisotes,Acanthaceae,NA,Anisotes
38,Anisotes spec.nov.,Anisotes,Acanthaceae,NA,Anisotes
39,Anisotes spectabilis,Anisotes,Acanthaceae,NA,Anisotes
40,Anisotes tanensis,Anisotes,Acanthaceae,NA,Anisotes
41,Anisotes trisulcus,Anisotes,Acanthaceae,NA,Anisotes
42,Anisotes ukambensis,Anisotes,Acanthaceae,NA,Anisotes
43,Anisotes umbrosus,Anisotes,Acanthaceae,NA,Anisotes
44,Anisotes zenkeri,Anisotes,Acanthaceae,NA,Anisotes
45,Anomacanthus congolanus,Anomacanthus,Acanthaceae,NA,Anomacanthus
46,Ascotheca paucinervia,Ascotheca,Acanthaceae,NA,Ascotheca
47,Asystasia africana,Asystasia,Acanthaceae,NA,Asystasia
48,Asystasia albiflora,Asystasia,Acanthaceae,NA,Asystasia
49,Asystasia ammophila,Asystasia,Acanthaceae,NA,Asystasia
50,Asystasia ansellioides,Asystasia,Acanthaceae,NA,Asystasia
51,Asystasia buettneri,Asystasia,Acanthaceae,NA,Asystasia
52,Asystasia charmian,Asystasia,Acanthaceae,NA,Asystasia
53,Asystasia congensis,Asystasia,Acanthaceae,NA,Asystasia
54,Asystasia drake-brockmanii,Asystasia,Acanthaceae,NA,Asystasia
55,Asystasia excellens,Asystasia,Acanthaceae,NA,Asystasia
56,Asystasia fragilis,Asystasia,Acanthaceae,NA,Asystasia
57,Asystasia gangetica,Asystasia,Acanthaceae,NA,Asystasia
58,Asystasia glandulifera,Asystasia,Acanthaceae,NA,Asystasia
59,Asystasia glandulosa,Asystasia,Acanthaceae,NA,Asystasia
60,Asystasia guttata,Asystasia,Acanthaceae,NA,Asystasia
61,Asystasia hedbergii,Asystasia,Acanthaceae,NA,Asystasia
