"","Albany thickets","Albertine Rift montane forests","Angolan montane forest-grassland","Angolan mopane woodlands","Angolan scarp savanna and woodlands","Angolan wet miombo woodlands","Cameroon Highlands forests","Cape Verde Islands dry forests","Central African mangroves","Central bushveld","Central Congolian lowland forests","Central Zambezian wet miombo woodlands","Congolian coastal forests","Cross-Niger transition forests","Cross-Sanaga-Bioko coastal forests","Djibouti xeric shrublands","Drakensberg Escarpment savanna and thicket","Drakensberg grasslands","Dry miombo woodlands","East African halophytics","East African mangroves","East African montane forests","East African montane moorlands","East Sudanian savanna","Eastern Arc forests","Eastern Congolian swamp forests","Eastern Guinean forests","Eritrean coastal desert","Ethiopian montane forests","Ethiopian montane grasslands and woodlands","Ethiopian montane moorlands","Etosha Pan halophytics","Fynbos shrubland","Gariep Karoo","Guinean forest-savanna","Guinean mangroves","Guinean montane forests","Highveld grasslands","Hobyo grasslands and shrublands","Horn of Africa xeric bushlands","Inner Niger Delta flooded savanna","Itigi-Sumbu thicket","Jos Plateau forest-grassland","Kalahari Acacia woodlands","Kalahari xeric savanna","Kaokoveld desert","Knysna-Amatole montane forests","Kwazulu Natal-Cape coastal forests","Lake Chad flooded savanna","Limpopo lowveld","Makgadikgadi halophytics","Mandara Plateau woodlands","Maputaland coastal forests and woodlands","Masai xeric grasslands and shrublands","Mount Cameroon and Bioko montane forests","Mulanje Montane forest-grassland","Nama Karoo shrublands","Namaqualand-Richtersveld steppe","Namib Desert","Namibian savanna woodlands","Niger Delta swamp forests","Nigerian lowland forests","Northeast Congolian lowland forests","Northern Acacia-Commiphora bushlands and thickets","Northern Congolian Forest-Savanna","Northern Swahili coastal forests","Northwest Congolian lowland forests","Nyanga-Chimanimani Montane forest-grassland","Red Sea mangroves","Renosterveld shrubland","Rwenzori-Virunga montane moorlands","Sahelian Acacia savanna","São Tomé, Príncipe, and Annobón forests","Serengeti volcanic grasslands","Somali Acacia-Commiphora bushlands and thickets","Somali montane xeric woodlands","Southern Acacia-Commiphora bushlands and thickets","Southern Africa mangroves","Southern Congolian forest-savanna","Southern Rift Montane forest-grassland","Southern Swahili coastal forests and woodlands","Succulent Karoo xeric shrublands","Sudd flooded grasslands","Victoria Basin forest-savanna","West Sudanian savanna","Western Congolian forest-savanna","Western Congolian swamp forests","Western Guinean lowland forests","Zambezian-Limpopo mixed woodlands","Zambezian Baikiaea woodlands","Zambezian coastal flooded savanna","Zambezian evergreen dry forests","Zambezian flooded grasslands","Zambezian mopane woodlands"
"Albany thickets",1,0.114992077832812,0.311167494596069,0.259124107474032,0.31031741640625,0.229221592520845,0.130753824276291,0.318441858647961,0.152298828460357,0.300885320584446,0.205871475527006,0.0888519069308385,0.096776951675101,0.317038865829074,0.132881056697735,0.211871720989681,0.368841839716381,0.333221520976421,0.0951870784679228,0.343541923302129,0.371353412738239,0.184076517588983,0.278020916587621,0.125904298031465,0.140189899913799,0.184134976492377,0.122984674656753,0.264795272881194,0.230604612990866,0.164121291215813,0.302937818587122,0.162164669791829,0.269240647350012,0.325910681010841,0.119844763356489,0.229552728483719,0.147676742977671,0.298294840615037,0.306184524810417,0.304045506079808,0.299794519863155,0.295158342327677,0.298376891913039,0.331904624894261,0.27369560489191,0.273852890685959,0.412167168842858,0.409404905303426,0.279689672862229,0.28554237536609,0.317679730193019,0.27417259279713,0.237951844357121,0.321327603145045,0.199945104194922,0.280931150314513,0.314933262122102,0.331661230228101,0.346263586691083,0.313208143323484,0.306697726277012,0.212341149660826,0.142365478222651,0.148545177043746,0.131066219868341,0.132072003270013,0.104932622893146,0.36314118924031,0.237679599213843,0.398192149187448,0.349833301640416,0.170916050126456,0.262793032849505,0.159071722222452,0.158940868744246,0.347699350246783,0.14702389651018,0.354526062654424,0.160329454467685,0.158661613961276,0.162682861255922,0.3426944961293,0.297390788609444,0.155908281407164,0.127839347829325,0.113765569408939,0.217919716134014,0.132755979930374,0.236668921931191,0.241055105201838,0.311326686312088,0.317362365151368,0.220773537741223,0.247088544006845
"Albertine Rift montane forests",0.114992077832812,0.999999999999998,0.155136327718661,0.253314052362431,0.22857691281784,0.355831656586023,0.555655538906098,0.213565768841531,0.43266981813616,0.266069759154119,0.386574078117819,0.606836525016983,0.465960310236706,0.194075381602938,0.482090056320006,0.380655627483757,0.153828362173342,0.219571178113078,0.562726044583672,0.0854886438009532,0.117416464270505,0.546368123487606,0.326847710132587,0.578660389971844,0.563168258694789,0.449958472238814,0.488954109882668,0.054809693141897,0.489946161173973,0.514830473880937,0.281978375534021,0.0258193031793616,0.220702497683886,0.154504880217024,0.499337013605981,0.351776218593007,0.493160652118646,0.278322123973641,0.137025165453588,0.195420316295599,0.156358630766065,0.19967098766489,0.226081354550611,0.143449051819123,0.25294055629553,0.0677351917857892,0.0954682506437629,0.174588191409402,0.241700478010514,0.289663874202118,0.0989241378953873,0.320930855653157,0.359586544968334,0.137596569073292,0.446965382982342,0.338738140160848,0.0633003121438741,0.151993321079264,0.0918183916614353,0.150866348204089,0.085816727439676,0.405863421349253,0.566516456766128,0.490536040708403,0.576317308790743,0.47476538552845,0.491830041639312,0.202804438584031,0.0435693701811478,0.125538779860683,0.275604886048921,0.398440780385906,0.342728405712452,0.0207696000915008,0.42742386377925,0.149151196611065,0.53534633693826,0.162399266649042,0.521558757639334,0.547675427955211,0.488067472247204,0.12452213223851,0.160333933648541,0.66830393117533,0.467379113947601,0.512408313724671,0.394234599995902,0.470394546590207,0.38340351656248,0.35532183408455,0.189032249124504,0.11123234967999,0.387798440540503,0.33306113850673
"Angolan montane forest-grassland",0.311167494596069,0.155136327718661,1,0.361217938226437,0.387892603060845,0.344753241276971,0.1616810346333,0.347051267178577,0.18961808441707,0.334530055039747,0.230958217119863,0.126466174796965,0.121458229506236,0.387476575956457,0.167560611993376,0.245406188805663,0.339601888867715,0.348386142370332,0.131811555833308,0.302995127303769,0.359763607467478,0.219483670150829,0.302004315911964,0.165702814051726,0.179621739808563,0.223490451570672,0.154393479452418,0.252534901064751,0.273260365311972,0.197083694007888,0.340486281232589,0.149292202859342,0.236323593881543,0.358416239174384,0.15580887228635,0.27387801991653,0.18309317995194,0.316299597417621,0.409705139646379,0.336202449668799,0.398071142416753,0.387246448370406,0.398501587528915,0.397773938008027,0.32316686468329,0.333182735664964,0.411054818797702,0.353754229870211,0.357198208194351,0.30392019840844,0.374557002650284,0.329697189218603,0.258196375370072,0.403101841764652,0.230691760468292,0.33869253454413,0.260963293278017,0.34545070903962,0.364647805881522,0.371650529605385,0.271691373428001,0.266619927117748,0.168171476789448,0.184619650836065,0.168558995348308,0.172520313936286,0.13449158651602,0.37528447926067,0.211253518551685,0.344645092211095,0.362109444359096,0.210406321237856,0.282014172233125,0.129992740515275,0.199800421880759,0.374952183995348,0.189004859941984,0.434769717927995,0.20785271854358,0.212014736703121,0.209169094514702,0.335782144804374,0.349418053643409,0.203162723401937,0.165933199551079,0.151728638799073,0.257297669135884,0.168653382517125,0.289783302794059,0.316531047627793,0.390145610466402,0.446077861230716,0.294142061478239,0.284310974046706
"Angolan mopane woodlands",0.259124107474032,0.253314052362431,0.361217938226437,0.999999999999995,0.451422174308718,0.439844819827987,0.250409633007577,0.435660151507756,0.290902719829034,0.504154746160811,0.30984958030134,0.220062188842405,0.196888974785172,0.365571274500428,0.244298996345656,0.419671517185593,0.334395370446156,0.369737671951811,0.244855884604329,0.251618850727536,0.298200099416794,0.345863175907463,0.34837989019688,0.303375197548156,0.263058650445905,0.308441251255774,0.26236740818963,0.167568967720309,0.366593381563498,0.342969960838348,0.343471289421899,0.106763703465978,0.295351918732133,0.44655890480842,0.27800446368359,0.375555233709895,0.279153273173184,0.403378766957238,0.367235538662852,0.438960163864613,0.39737480376784,0.401068873797952,0.395780728739793,0.470315335793164,0.616043864547344,0.249299564809595,0.247337381187486,0.319082888172096,0.469191122392966,0.463322712000191,0.363666018585489,0.479053620177895,0.449604993600855,0.342579460023055,0.314687302864463,0.360878883803271,0.219203585289796,0.371373250404634,0.322370632938952,0.4709505804069,0.215736299760718,0.348671899294269,0.261150525763566,0.331324667777178,0.283434719646214,0.311401241027044,0.218913613781039,0.336779724481437,0.159657121625501,0.30025630838459,0.333348369499706,0.395265643462122,0.338581983847546,0.0756550455237613,0.362115809556065,0.361919416748897,0.338122525508458,0.365365875539455,0.306152784949406,0.305870355748269,0.335124849218202,0.305101226093908,0.357226084013997,0.323530215273594,0.311328501787812,0.246030931112334,0.324335238027412,0.262780680033441,0.483298830565178,0.500104987155866,0.395591517690375,0.298627864628403,0.444182423679207,0.513665944098907
"Angolan scarp savanna and woodlands",0.31031741640625,0.22857691281784,0.387892603060845,0.451422174308718,0.999999999999999,0.46045439679032,0.23581694061415,0.379484701015261,0.293246648066029,0.379077307313064,0.362641851630143,0.18459781181372,0.195327586500234,0.441190684540292,0.249068767630151,0.310202500966257,0.379668092299676,0.360031343155486,0.191466508921094,0.278577032859202,0.303699615640403,0.292058104373868,0.338239166566971,0.245930239756632,0.250579704684006,0.336691711831629,0.24528969777374,0.189154502622443,0.357336575065614,0.264159632682838,0.324142109837298,0.111928817555803,0.262972324418172,0.366747536737392,0.249207073314069,0.379969732496237,0.275108584815932,0.352673805109667,0.368852337677748,0.365518842109855,0.387919083561741,0.406494367633947,0.413827369856273,0.417733733461273,0.386910335897146,0.245468277872449,0.32600423594291,0.39551181745343,0.39992663369782,0.403982805993991,0.36507842841607,0.415981633941253,0.357523160095219,0.362719993730804,0.319251437349067,0.370069145376123,0.233560491387243,0.344965772840849,0.290516478448164,0.383136991901774,0.287319049138129,0.377427078027781,0.25712753306949,0.256710710594307,0.262776891853066,0.255724625953249,0.218537795176874,0.391855692931915,0.171893815723226,0.304470964620635,0.354608348675489,0.290015501135304,0.392348781938125,0.0873344946164148,0.27153063680397,0.368189765469233,0.261798076383917,0.408137490653812,0.313654419768998,0.27253061557355,0.305928191570146,0.285911085796671,0.40208643591096,0.28632672665562,0.254136942926359,0.24443430755567,0.363177815455209,0.259616443806545,0.422469535017143,0.394297210525065,0.439179996226059,0.353936680760832,0.375036777760478,0.400447155692196
"Angolan wet miombo woodlands",0.229221592520845,0.355831656586023,0.344753241276971,0.439844819827987,0.46045439679032,1,0.34572511551828,0.343589566332435,0.37813690116676,0.410109486743981,0.421485653167055,0.337360738771608,0.288666095907731,0.358589626886802,0.337648562731415,0.37826676256149,0.292035606076232,0.365794675963479,0.325878009063749,0.204048664451561,0.23466374766091,0.384051660679072,0.393689797877485,0.370703213855465,0.358598440406601,0.413917734918123,0.350294859339204,0.12075037897262,0.436727097007501,0.369071659954469,0.362963274966893,0.0598166128934462,0.300633409030968,0.294562946876288,0.349510673405536,0.421143058957622,0.376399548773036,0.396058897192537,0.274439800011678,0.327946209084318,0.285136499841778,0.371611436743505,0.39087520874276,0.315721171007074,0.409566745812348,0.175224932101948,0.21224211296735,0.313307113640859,0.375506893379583,0.423217639608118,0.25517548106263,0.449943948261884,0.424027809657791,0.281462299127244,0.394430755915737,0.444670119657505,0.158197259565121,0.298522203551573,0.216642356214608,0.316612049877674,0.195330163819075,0.43442954635656,0.357313902438751,0.354634464992391,0.390141867337265,0.35608530907172,0.308894523381085,0.340758059356606,0.10442075397849,0.257838159370161,0.361356981175788,0.377596137571381,0.39549049790237,0.0499181953076861,0.35941071247087,0.297590614832167,0.384263586331436,0.335741208159236,0.475197705519598,0.39194829919622,0.412755156688768,0.252816822993972,0.2890034158062,0.409239770243742,0.360445345008258,0.387182129469621,0.42875757096049,0.354779253243018,0.475514864297311,0.51250930688746,0.36523726842679,0.276217496322063,0.476860618637451,0.464176237337977
"Cameroon Highlands forests",0.130753824276291,0.555655538906098,0.1616810346333,0.250409633007577,0.23581694061415,0.34572511551828,0.999999999999997,0.236674578445435,0.56214178358822,0.266921548955071,0.447701247635761,0.451719002652116,0.619444638777745,0.242535690640623,0.721390259225211,0.34060255264445,0.167063392226304,0.238083096602751,0.435684648454247,0.0968244399859403,0.130602058743501,0.463948653551678,0.317730650922145,0.53218970109716,0.489851411541155,0.507451738540926,0.598320800577861,0.0633738173895375,0.457428284446196,0.442335024702708,0.28990151208215,0.0267563435825114,0.231236062113472,0.169455960735496,0.573242340858324,0.422238413806212,0.610691466711182,0.286594301168344,0.152684178722557,0.20734905100435,0.170373104312757,0.188899475115923,0.267289453868723,0.151529402582219,0.255107848836631,0.0761923581634303,0.108851567820742,0.191623361893712,0.249668388431588,0.278808292121727,0.100586790309277,0.346540697414541,0.33595632531405,0.148759298848055,0.643393578708492,0.321689221805525,0.0694405902229373,0.167401535480861,0.105533674807048,0.159713751837536,0.107697143177896,0.507212681111949,0.574507189676918,0.409191011291297,0.639501653606235,0.405407543465908,0.641447883585357,0.217366770583251,0.0483115921228218,0.141891664445548,0.254459609752974,0.394737028819312,0.415718776509185,0.0220619358611822,0.374412596996099,0.162314658461529,0.436391804803768,0.178291007012422,0.533627446074308,0.459018621172919,0.427900476498267,0.139350766762888,0.164134819500292,0.530979623741739,0.496591489465724,0.58161781393436,0.451489919052984,0.588133036012696,0.350809451227013,0.337628477035443,0.191740810278348,0.12464022865644,0.3689089691905,0.312187342864443
"Cape Verde Islands dry forests",0.318441858647961,0.213565768841531,0.347051267178577,0.435660151507756,0.379484701015261,0.343589566332435,0.236674578445435,0.999999999999997,0.278302381936589,0.432193882963131,0.286086016293379,0.172421594579462,0.183171589858818,0.409902369260833,0.22987153672473,0.429809651069512,0.375058978895151,0.412337607098853,0.188935467211943,0.276599096780559,0.343452442670941,0.303340364884336,0.365334275266504,0.270046487611638,0.231792490101691,0.288535685820164,0.246139024005277,0.267395081225593,0.347269830373402,0.315697794772704,0.395069856507509,0.102948875285614,0.302690354870391,0.417709953480385,0.263128192261886,0.384410847911611,0.264030251502875,0.407259528065085,0.420460199896443,0.460954673873617,0.499875537011514,0.42274861574081,0.428799143636899,0.40292918017267,0.431624722614393,0.270373720031554,0.32480945378372,0.341677932029772,0.510008364666557,0.398656278376589,0.30011077474186,0.506454976032367,0.37180120873457,0.367058799863722,0.313209703319881,0.354198699016694,0.251354523731687,0.36187812439105,0.330431890320016,0.430040882902519,0.225038796464938,0.35373591429346,0.239530585999442,0.277512627743582,0.257436920602739,0.267248227695925,0.19442720009466,0.344157225177419,0.215138286140617,0.331325760167301,0.358834276002112,0.411300805442348,0.378534675685509,0.0875667942074472,0.33628032976127,0.419455857890466,0.274786314363627,0.406725757072098,0.275829752632835,0.261638298037008,0.267242886447625,0.347252950368083,0.4192383449199,0.282775094415243,0.299461309749098,0.214178256755731,0.323936035153867,0.254084823056553,0.384450590233237,0.381803701647449,0.421397151373743,0.340394488756762,0.36842652147441,0.402362486331292
"Central African mangroves",0.152298828460357,0.43266981813616,0.18961808441707,0.290902719829034,0.293246648066029,0.37813690116676,0.56214178358822,0.278302381936589,1,0.298341832941837,0.532039742308319,0.356595155489086,0.650315212394473,0.31079389609763,0.638262210481449,0.334544754712323,0.198590430267548,0.251758597488763,0.350759460832143,0.117198398755387,0.168222373855775,0.377654919596554,0.297099758023448,0.428304416656971,0.399473291637165,0.581550843575113,0.588666844090702,0.0875028173895407,0.391379707835072,0.351005396778242,0.269374854991218,0.0375892842313875,0.250306944781599,0.207773096625606,0.542995980819226,0.508264824183512,0.548865577143636,0.295802292246681,0.188344031501761,0.250863267401464,0.217606543689423,0.224818176631534,0.276641874136226,0.196267028220892,0.300917909243593,0.102286095955064,0.130613939948863,0.231011909966394,0.310811557941564,0.320563830805231,0.135121668436892,0.370240101211148,0.375251410445699,0.178987229472239,0.500753548067848,0.324311407059608,0.0888908813952969,0.203978985127611,0.136213339815918,0.193189129902297,0.151959628180113,0.569059921811661,0.560807361132207,0.359046645722812,0.532307748258679,0.394464583784416,0.641148864406751,0.230542797996031,0.064373004349041,0.171843148263343,0.252498774214628,0.387519971358781,0.44495657132891,0.0286491226701457,0.34940654121033,0.197569275182332,0.38334825772136,0.220186992586525,0.541876392285553,0.358820471357172,0.411504146626631,0.166339626614192,0.202082957421212,0.439475307622065,0.469826362019361,0.642435346577081,0.531708234285293,0.604150047027135,0.375106615249436,0.36786860767868,0.244576738972126,0.157240024680599,0.402903459723447,0.359307143390771
"Central bushveld",0.300885320584446,0.266069759154119,0.334530055039747,0.504154746160811,0.379077307313064,0.410109486743981,0.266921548955071,0.432193882963131,0.298341832941837,1,0.318619479721148,0.231853995621544,0.212639420639081,0.351734677485089,0.261142471406767,0.409753343406566,0.352178308683672,0.410433521576893,0.267982437615319,0.239046500194049,0.275925921453486,0.365820585128878,0.375346672220915,0.303834299320496,0.297383295550341,0.324608666027376,0.267532364591896,0.167722574986908,0.385443792561883,0.363485627951731,0.36545519836134,0.0884637770466225,0.337503795653946,0.407405685432817,0.283205540020867,0.384157089698537,0.293128825602096,0.49123295756242,0.350858958925588,0.42376581117154,0.391926232367529,0.410403566085512,0.401231136551139,0.420810095944023,0.55271551174075,0.211421634174983,0.277690485408683,0.371551388697917,0.450866121894767,0.527338494197159,0.316132049670893,0.455716853385864,0.513845696023509,0.335267349268449,0.329970969180633,0.409494178423929,0.220116176843742,0.368400818419779,0.267741041132087,0.381063693891222,0.216426518858916,0.351960619873169,0.274329779120168,0.349423012742778,0.290854416929348,0.324252608188643,0.225852392774801,0.381271152673215,0.133593704702607,0.326363696367066,0.361110514890771,0.382981811442304,0.355318279846921,0.0735644702969902,0.372002562080696,0.378301042856412,0.345055343758138,0.377296562611776,0.322763724261049,0.335448711778903,0.35883179170263,0.316684395141263,0.347912673089765,0.343567907616151,0.310906316748756,0.253419592501866,0.342269518645984,0.278985987455951,0.492500172389161,0.50232965788072,0.414424075007877,0.293927572567705,0.447584640343321,0.49103546551795
